Event_Date,observations
2012-03-31,241.33333333333334
2012-04-30,287.0
2012-05-31,284.6666666666667
2012-06-30,278.0
2012-07-31,302.6666666666667
2012-08-31,297.6666666666667
2012-09-30,334.0
2012-10-31,370.6666666666667
2012-11-30,402.0
2012-12-31,368.3333333333333
2013-01-31,330.3333333333333
2013-02-28,320.6666666666667
2013-03-31,343.0
2013-04-30,365.0
2013-05-31,338.6666666666667
2013-06-30,310.6666666666667
2013-07-31,254.33333333333334
2013-08-31,245.0
2013-09-30,235.0
2013-10-31,274.3333333333333
2013-11-30,472.3333333333333
2013-12-31,1243.3333333333333
2014-01-31,1944.0
2014-02-28,3043.3333333333335
2014-03-31,3501.3333333333335
2014-04-30,3653.0
2014-05-31,3229.6666666666665
2014-06-30,2640.0
2014-07-31,2503.3333333333335
2014-08-31,2372.3333333333335
2014-09-30,2376.3333333333335
2014-10-31,1999.0
2014-11-30,1682.3333333333333
2014-12-31,1401.3333333333333
2015-01-31,1483.6666666666667
2015-02-28,2058.6666666666665
2015-03-31,2115.6666666666665
2015-04-30,1916.6666666666667
2015-05-31,1203.0
2015-06-30,1059.6666666666667
2015-07-31,1037.0
2015-08-31,959.0
2015-09-30,925.3333333333334
2015-10-31,796.3333333333334
2015-11-30,703.0
2015-12-31,661.3333333333334
2016-01-31,604.0
2016-02-29,705.6666666666666
2016-03-31,697.3333333333334
2016-04-30,856.3333333333334
2016-05-31,767.6666666666666
2016-06-30,703.3333333333334
2016-07-31,652.0
2016-08-31,684.0
2016-09-30,748.3333333333334
2016-10-31,633.6666666666666
2016-11-30,603.6666666666666
2016-12-31,492.6666666666667
2017-01-31,552.0
2017-02-28,600.3333333333334
2017-03-31,720.0
2017-04-30,689.0
2017-05-31,611.6666666666666
2017-06-30,548.0
2017-07-31,620.3333333333334
2017-08-31,665.3333333333334
2017-09-30,726.6666666666666
2017-10-31,748.0
2017-11-30,726.6666666666666
2017-12-31,785.3333333333334
2018-01-31,709.0
2018-02-28,720.6666666666666
2018-03-31,655.6666666666666
2018-04-30,639.6666666666666
2018-05-31,605.6666666666666
2018-06-30,520.3333333333334
2018-07-31,446.0
2018-08-31,371.3333333333333
2018-09-30,317.6666666666667
2018-10-31,356.6666666666667
2018-11-30,533.6666666666666
2018-12-31,555.6666666666666
2019-01-31,526.6666666666666
2019-02-28,328.6666666666667
2019-03-31,331.0
2019-04-30,407.0
2019-05-31,548.0
2019-06-30,559.3333333333334
2019-07-31,605.6666666666666
2019-08-31,625.0
2019-09-30,804.3333333333334
2019-10-31,873.6666666666666
2019-11-30,912.6666666666666
2019-12-31,885.0
2020-01-31,868.6666666666666
2020-02-29,732.0
2020-03-31,528.6666666666666
2020-04-30,327.0
2020-05-31,384.205607939426
2020-06-30,433.2340343257617
2020-07-31,445.9989545829372
2020-08-31,482.4023084650468
2020-09-30,498.2115724466457
2020-10-31,527.18314606031
2020-11-30,551.3195855234197
2020-12-31,561.666938705318
2021-01-31,574.969096090333
2021-02-28,588.1817139540415
2021-03-31,607.0353216600637
2021-04-30,650.7809162893118
