Event_Date,observations
2012-03-31,2298.3333333333335
2012-04-30,2074.0
2012-05-31,2021.0
2012-06-30,1997.0
2012-07-31,2095.3333333333335
2012-08-31,2663.0
2012-09-30,2957.0
2012-10-31,2926.0
2012-11-30,2234.0
2012-12-31,1859.6666666666667
2013-01-31,1721.0
2013-02-28,1838.0
2013-03-31,1844.0
2013-04-30,1876.6666666666667
2013-05-31,1830.0
2013-06-30,2000.0
2013-07-31,1960.3333333333333
2013-08-31,2069.3333333333335
2013-09-30,2356.6666666666665
2013-10-31,2648.6666666666665
2013-11-30,2804.6666666666665
2013-12-31,2815.3333333333335
2014-01-31,3078.3333333333335
2014-02-28,3158.3333333333335
2014-03-31,3238.3333333333335
2014-04-30,2883.3333333333335
2014-05-31,2704.0
2014-06-30,2501.3333333333335
2014-07-31,2268.6666666666665
2014-08-31,2267.6666666666665
2014-09-30,2256.3333333333335
2014-10-31,2563.0
2014-11-30,2459.3333333333335
2014-12-31,2384.0
2015-01-31,2412.3333333333335
2015-02-28,2529.3333333333335
2015-03-31,2870.3333333333335
2015-04-30,3248.6666666666665
2015-05-31,3210.3333333333335
2015-06-30,2652.3333333333335
2015-07-31,2697.6666666666665
2015-08-31,2854.0
2015-09-30,3201.6666666666665
2015-10-31,2767.0
2015-11-30,2592.3333333333335
2015-12-31,2181.3333333333335
2016-01-31,2810.0
2016-02-29,2708.6666666666665
2016-03-31,2768.6666666666665
2016-04-30,2042.0
2016-05-31,2057.6666666666665
2016-06-30,1829.6666666666667
2016-07-31,1391.3333333333333
2016-08-31,1162.0
2016-09-30,1176.3333333333333
2016-10-31,1231.3333333333333
2016-11-30,1202.6666666666667
2016-12-31,1282.3333333333333
2017-01-31,1358.0
2017-02-28,1410.0
2017-03-31,1319.0
2017-04-30,1262.0
2017-05-31,1322.0
2017-06-30,1606.3333333333333
2017-07-31,1595.6666666666667
2017-08-31,1640.0
2017-09-30,1510.0
2017-10-31,1825.6666666666667
2017-11-30,1745.6666666666667
2017-12-31,1646.6666666666667
2018-01-31,1443.6666666666667
2018-02-28,1283.3333333333333
2018-03-31,1172.6666666666667
2018-04-30,1071.0
2018-05-31,1326.3333333333333
2018-06-30,1266.0
2018-07-31,1186.0
2018-08-31,927.6666666666666
2018-09-30,1324.6666666666667
2018-10-31,1248.6666666666667
2018-11-30,1227.6666666666667
2018-12-31,913.0
2019-01-31,904.6666666666666
2019-02-28,914.0
2019-03-31,818.0
2019-04-30,781.6666666666666
2019-05-31,838.6666666666666
2019-06-30,1638.0
2019-07-31,2005.3333333333333
2019-08-31,1917.6666666666667
2019-09-30,1556.0
2019-10-31,1280.6666666666667
2019-11-30,1321.6666666666667
2019-12-31,1057.0
2020-01-31,1854.6666666666667
2020-02-29,1771.0
2020-03-31,1545.0
2020-04-30,589.3333333333334
2020-05-31,1376.1499479988554
2020-06-30,1416.0952889891528
2020-07-31,1493.6992078691528
2020-08-31,1555.1025115286445
2020-09-30,1623.4752746906083
2020-10-31,1688.849795804634
2020-11-30,1755.5141522889396
2020-12-31,1821.6236251928585
2021-01-31,1887.9718074661102
2021-02-28,1954.2172976341685
2021-03-31,2020.5069656595876
2021-04-30,2086.7776284939328
